row_id,candidate_class,score_pre_sort,eligibility,eligibility_reason,primary_class,owned_classes,from_cooc,from_narrative,from_pop
62,fighter,0.16219110374066897,eligible,"need STR>=13 or DEX>=13; have STR=12, DEX=14",,,0.0,0.06219110374066896,0.1
62,wizard,0.05519278154587434,eligible,ok,,,0.0,0.01835067628271645,0.03684210526315789
62,warlock,-1000.0,ineligible,CHA>=13 (have 8),,,0.0,0.02413193044635582,0.021052631578947368
62,rogue,0.04367737665778721,eligible,ok,,,0.0,0.006835271394629318,0.03684210526315789
63,barbarian,-1000.0,ineligible,STR>=13 (have 10),rogue,rogue,0.55,0.050483570829810163,0.031578947368421054
63,warlock,0.06172957138169528,eligible,ok,rogue,rogue,0.0,0.04067693980274791,0.021052631578947368
63,fighter,0.17023597143874425,eligible,"need STR>=13 or DEX>=13; have STR=10, DEX=18",rogue,rogue,0.0,0.07023597143874424,0.1
63,sorcerer,0.02670534666440072,eligible,ok,rogue,rogue,0.0,0.010915872980190195,0.015789473684210527
63,bard,0.025210023196418848,eligible,ok,rogue,rogue,0.0,0.009420549512208321,0.015789473684210527
64,fighter,0.7310229033920804,eligible,"need STR>=13 or DEX>=13; have STR=8, DEX=14",wizard,wizard,0.55,0.08102290339208043,0.1
64,warlock,-1000.0,ineligible,CHA>=13 (have 10),wizard,wizard,0.0,0.04509000083745556,0.021052631578947368
64,monk,-1000.0,ineligible,WIS>=13 (have 12),wizard,wizard,0.0,0.03767240595321875,0.03684210526315789
64,rogue,0.08669344655548994,eligible,ok,wizard,wizard,0.0,0.049851341292332055,0.03684210526315789
64,artificer,0.010526315789473684,eligible,ok,wizard,wizard,0.0,0.0,0.010526315789473684
65,monk,-1000.0,ineligible,WIS>=13 (have 12),ranger,ranger|rogue,0.55,0.015999279761218926,0.03684210526315789
65,barbarian,0.6225534743843354,eligible,ok,ranger,ranger|rogue,0.55,0.04097452701591436,0.031578947368421054
65,fighter,0.27214343224312676,eligible,"need STR>=13 or DEX>=13; have STR=16, DEX=16",ranger,ranger|rogue,0.0,0.17214343224312675,0.1
65,wizard,-1000.0,ineligible,INT>=13 (have 10),ranger,ranger|rogue,0.0,0.024978631710487722,0.03684210526315789
65,sorcerer,-1000.0,ineligible,CHA>=13 (have 8),ranger,ranger|rogue,0.0,0.024910759187376966,0.015789473684210527
66,druid,0.05785420754837586,eligible,ok,cleric,cleric|sorcerer,0.0,0.03680157596942849,0.021052631578947368
66,warlock,0.04368865383643787,eligible,ok,cleric,cleric|sorcerer,0.0,0.0226360222574905,0.021052631578947368
66,rogue,0.05900563042797104,eligible,ok,cleric,cleric|sorcerer,0.0,0.022163525164813146,0.03684210526315789
66,fighter,0.1541327804080831,eligible,"need STR>=13 or DEX>=13; have STR=10, DEX=14",cleric,cleric|sorcerer,0.0,0.0541327804080831,0.1
66,monk,0.05636514158720095,eligible,ok,cleric,cleric|sorcerer,0.0,0.019523036324043053,0.03684210526315789
67,fighter,0.7267997699782939,eligible,"need STR>=13 or DEX>=13; have STR=10, DEX=18",monk,monk,0.55,0.07679976997829382,0.1
67,ranger,0.585956662724188,eligible,ok,monk,monk,0.55,0.009640873250503801,0.02631578947368421
67,rogue,0.06682463306229992,eligible,ok,monk,monk,0.0,0.029982527799142036,0.03684210526315789
67,druid,0.030772906016409477,eligible,ok,monk,monk,0.0,0.00972027443746211,0.021052631578947368
67,cleric,0.047270075481838675,eligible,ok,monk,monk,0.0,0.015691128113417618,0.031578947368421054
68,monk,-1000.0,ineligible,DEX>=13 (have 12) & WIS>=13 (have 10),fighter,fighter,0.55,0.02382767808096797,0.03684210526315789
68,wizard,0.6326382340204095,eligible,ok,fighter,fighter,0.55,0.04579612875725162,0.03684210526315789
68,barbarian,0.6329805464559645,eligible,ok,fighter,fighter,0.55,0.0514015990875434,0.031578947368421054
68,ranger,-1000.0,ineligible,DEX>=13 (have 12) & WIS>=13 (have 10),fighter,fighter,0.0,0.03338367460499062,0.02631578947368421
68,artificer,0.010526315789473684,eligible,ok,fighter,fighter,0.0,0.0,0.010526315789473684
69,monk,-1000.0,ineligible,WIS>=13 (have 10),warlock,warlock,0.55,0.007671621740718751,0.03684210526315789
69,bard,0.035283786577984505,eligible,ok,warlock,warlock,0.0,0.019494312893773978,0.015789473684210527
69,sorcerer,0.02523631410767215,eligible,ok,warlock,warlock,0.0,0.009446840423461623,0.015789473684210527
69,rogue,0.06211108088876627,eligible,ok,warlock,warlock,0.0,0.02526897562560838,0.03684210526315789
69,fighter,0.16945894041098247,eligible,"need STR>=13 or DEX>=13; have STR=8, DEX=14",warlock,warlock,0.0,0.06945894041098248,0.1
70,cleric,-1000.0,ineligible,WIS>=13 (have 12),sorcerer,sorcerer,0.55,0.05032323832542798,0.031578947368421054
70,fighter,0.21245457560532352,eligible,"need STR>=13 or DEX>=13; have STR=8, DEX=18",sorcerer,sorcerer,0.0,0.11245457560532351,0.1
70,rogue,0.048109981519009776,eligible,ok,sorcerer,sorcerer,0.0,0.011267876255851881,0.03684210526315789
70,warlock,0.031184556674541723,eligible,ok,sorcerer,sorcerer,0.0,0.010131925095594355,0.021052631578947368
70,bard,0.015789473684210527,eligible,ok,sorcerer,sorcerer,0.0,0.0,0.015789473684210527
